"Curve","USDA_Species_Code","CO2frac","Sample_Date","Year","Sample_ID","Replicate","QC","Tleaf","Photo","Ci","CO2S","VpdA","RH_S","Tair","PARi","Press","Cond","BLCond","Trmmol","FTime","Ebal","VpdL","CTleaf","Area","BLC_1","StmRat","TBlk","CO2R","H2OR","H2OS","RH_R","Flow","PARo","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R_W_m2","Tl_minus_Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","CndCO2","Ci_Pa","Ci_Ca","RHsfc","C2sfc","AHs_Cs"
1,"CAAQ",4,20120811,2012,60,-9999,NA,18.2044014425,1.84974905025,70.7539817275,88.5842552175,0.5144657315,74.2886352525,15.0092542175,1999.2926025,100.885337825,0.1904476625,-9999,-9999,-9999,-9999,0.82626304575,-9999,4.679999828,-9999,-9999,-9999,97.83430291,-9999,-9999,34.9942116725,-9999,0.707226068,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.79944702625,-9999,-9999,-9999
1,"CAAQ",5,20120811,2012,60,-9999,NA,18.47872051,1.994700614,81.29662916,110.3583984,0.577434574,71.07374573,15.06113911,1998.943481,100.8785629,0.118830538,-9999,-9999,-9999,-9999,0.913374707,-9999,4.679999828,-9999,-9999,-9999,120.2314682,-9999,-9999,42.824646,-9999,0.683949828,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.736660103,-9999,-9999,-9999
1,"CAAQ",6,20120811,2012,60,-9999,NA,19.45180723,2.924103863,88.22799956,134.6555328,0.695168998,71.88510895,15.05920315,1999.218018,100.8791656,0.107786892,-9999,-9999,-9999,-9999,1.03322302,-9999,4.679999828,-9999,-9999,-9999,149.0157471,-9999,-9999,42.78486633,-9999,0.691074252,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.655212584,-9999,-9999,-9999
1,"CAAQ",7,20120811,2012,60,-9999,NA,18.43021863,4.5082010305,112.16011165,172.48578645,0.556109278,72.197475435,15.04215336,1999.3706055,100.8816643,0.127508797,-9999,-9999,-9999,-9999,0.8890983285,-9999,4.679999828,-9999,-9999,-9999,194.45417025,-9999,-9999,42.73580551,-9999,0.6741482015,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.6508217695,-9999,-9999,-9999
1,"CAAQ",8,20120811,2012,60,-9999,NA,18.39089976,6.736832315,143.1536113,227.0128937,0.539528654,73.07106781,15.03691387,2000.150146,100.8836746,0.137172249,-9999,-9999,-9999,-9999,0.869308243,-9999,4.679999828,-9999,-9999,-9999,259.7529907,-9999,-9999,41.67876434,-9999,0.688742459,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.630596831,-9999,-9999,-9999
1,"CAAQ",9,20120811,2012,60,-9999,NA,18.46091738,10.4264453925,200.5264053,339.65229795,0.564699438,71.84227753,15.063033105,1999.8605345,100.8789597,0.128080722,-9999,-9999,-9999,-9999,0.897721757,-9999,4.679999828,-9999,-9999,-9999,390.17453005,-9999,-9999,41.72474861,-9999,0.632621974,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.5905517055,-9999,-9999,-9999
1,"CAAQ",10,20120811,2012,60,-9999,NA,18.6239533,11.23788247,254.6220205,444.48349,0.640751371,67.97779083,15.0967741,1999.176758,100.8776093,0.09998206,-9999,-9999,-9999,-9999,0.983407281,-9999,4.679999828,-9999,-9999,-9999,499.036499,-9999,-9999,41.91064072,-9999,0.623540163,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.57284922,-9999,-9999,-9999
1,"CAAQ",11,20120811,2012,60,-9999,NA,19.58697734,15.348585465,375.48054605,700.44943235,0.791504895,66.36271667,15.12123251,1999.272034,100.8768349,0.0798333485,-9999,-9999,-9999,-9999,1.142709379,-9999,4.679999828,-9999,-9999,-9999,775.15621945,-9999,-9999,42.05147362,-9999,0.6748723385,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.533295532,-9999,-9999,-9999
1,"CAAQ",12,20120811,2012,60,-9999,NA,18.73263787,19.18787792,688.8656893,1106.509277,0.707959562,64.17701721,15.13759804,1999.929932,100.8735275,0.077791159,-9999,-9999,-9999,-9999,1.06063818,-9999,4.679999828,-9999,-9999,-9999,1200.44397,-9999,-9999,42.2075119,-9999,0.734771073,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.622557536,-9999,-9999,-9999
1,"CAAQ",14,20120811,2012,60,-9999,NA,18.80182997,21.55146176,977.8106953,1494.273804,0.735896031,62.82473755,15.15687847,1999.861694,100.8739395,0.070932196,-9999,-9999,-9999,-9999,1.092026072,-9999,4.679999828,-9999,-9999,-9999,1600.400391,-9999,-9999,42.18159866,-9999,0.664353967,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.654371838,-9999,-9999,-9999
1,"CAAQ",15,20120811,2012,60,-9999,NA,18.85873855,22.94524767,1288.122399,1886.901367,0.759186303,61.68352509,15.17759228,1998.703613,100.8711166,0.065435423,-9999,-9999,-9999,-9999,1.118093049,-9999,4.679999828,-9999,-9999,-9999,2000.593018,-9999,-9999,42.17691803,-9999,0.664004683,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.682665465,-9999,-9999,-9999
2,"CAAQ",4,20120712,2012,63,-9999,NA,19.80502233,2.224683346,79.01815804,88.06486511,0.589318897,73.26854706,18.31748581,2000.092407,100.7423782,0.483995536,-9999,-9999,-9999,-9999,0.770236389,-9999,2.025000095,-9999,-9999,-9999,89.08667755,-9999,-9999,66.92769623,-9999,505.9335938,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.897272232,-9999,-9999,-9999
2,"CAAQ",5,20120712,2012,63,-9999,NA,19.79411676,3.795985218,103.6465219,118.791153,0.591846099,73.08905029,18.31177902,1999.111328,100.7416763,0.480604298,-9999,-9999,-9999,-9999,0.773017554,-9999,2.025000095,-9999,-9999,-9999,120.4904938,-9999,-9999,66.76381683,-9999,510.7996826,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.872510446,-9999,-9999,-9999
2,"CAAQ",6,20120712,2012,63,-9999,NA,19.8059045,5.298010661,126.2830763,147.3406677,0.596885323,72.86897278,18.32402039,1998.880493,100.7420197,0.476918047,-9999,-9999,-9999,-9999,0.778188872,-9999,2.025000095,-9999,-9999,-9999,149.6871948,-9999,-9999,66.54940033,-9999,513.1827393,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.857082286,-9999,-9999,-9999
