Year,Month,DOY,Curve,Species,Canopy_position,Cohort_age,Photo,Tleaf,Cond,CO2R,Ci,PARi,Vcmax_leaf_area,Vcmax_leaf_area_25C,Vcmax_mass_25C,fkco,Jmax_leaf_area,Jmax__leaf_area_25C,Jmax_mass_25C,TPU_leaf_area,TPU_leaf_area_25C,TPU_mass_25C,N,N_mass,N_leaf_area,C,CN_ratio,LMA
2010,6,174,Spruce_1A,Picea mariana ,Mid,1,-3,28,0.1834,49,77,1001,50.3,41.7,143,134,88.8,80.1,274.6,5.6,5.1,16.9,0.6,0.45,131.2,46.4,74,292
2010,6,174,Spruce_1A,Picea mariana ,Mid,1,-1.7,28,0.1843,101,114,1000,50.3,41.8,143.4,134,88.8,80.2,275,5.6,5.1,16.9,0.6,0.45,131.2,46.4,74,292
2010,6,174,Spruce_1A,Picea mariana ,Mid,1,0.6,28,0.1819,199,188,1000,50.3,42,143.9,134,88.8,80.4,275.5,5.6,5.1,16.9,0.6,0.45,131.2,46.4,74,292
2010,6,174,Spruce_1A,Picea mariana ,Mid,1,2.9,28,0.1845,300,264,1001,50.3,42.2,144.8,134,88.8,80.6,276.4,5.6,5.1,17,0.6,0.45,131.2,46.4,74,292
2010,6,174,Spruce_1A,Picea mariana ,Mid,1,4.8,28,0.1706,400,340,1000,50.3,41.8,143.2,134,88.8,80.2,274.8,5.6,5.1,16.9,0.6,0.45,131.2,46.4,74,292
2010,6,174,Spruce_1A,Picea mariana ,Mid,1,5.4,28,0.1845,400,338,1001,50.3,42.5,145.8,134,88.8,80.9,277.5,5.6,5.1,17.1,0.6,0.45,131.2,46.4,74,292
2010,6,174,Spruce_1A,Picea mariana ,Mid,1,5.5,28,0.1819,402,338,1000,50.3,41.6,142.8,134,88.8,80,274.3,5.6,5.1,16.9,0.6,0.45,131.2,46.4,74,292
2010,6,174,Spruce_1A,Picea mariana ,Mid,1,7.9,28,0.1822,549,458,1000,50.3,41.7,142.8,134,88.8,80,274.4,5.6,5.1,16.9,0.6,0.45,131.2,46.4,74,292
2010,6,174,Spruce_1A,Picea mariana ,Mid,1,9.6,28,0.1824,650,540,1001,50.3,41.9,143.6,134,88.8,80.3,275.2,5.6,5.1,16.9,0.6,0.45,131.2,46.4,74,292
2010,6,174,Spruce_1A,Picea mariana ,Mid,1,11.4,28,0.1803,801,668,1001,50.3,41.9,143.6,134,88.8,80.3,275.2,5.6,5.1,16.9,0.6,0.45,131.2,46.4,74,292
2010,6,174,Spruce_1A,Picea mariana ,Mid,1,12.4,28,0.1798,950,803,1000,50.3,42,144,134,88.8,80.4,275.6,5.6,5.1,16.9,0.6,0.45,131.2,46.4,74,292
2010,6,174,Spruce_1A,Picea mariana ,Mid,1,14.1,28,0.1796,1200,1031,1000,50.3,42.1,144.3,134,88.8,80.5,275.9,5.6,5.1,17,0.6,0.45,131.2,46.4,74,292
